flight,chain_id,lat,long,alt,mph,dt_seconds,heading_sin,heading_cos,vertical_speed,horizontal_speed,delta_lat,delta_lon,delta_alt
ASA775,8,35.1222,-118.652,32075,506,600.0,0.7717196044693365,-0.6359629329431794,-29.833333333333332,699.3496027065435,-0.6706000000000003,0.9809999999999945,-17900
ASA775,13,35.1826,-118.667,33500,525,600.0,0.7451971850374375,-0.6668441762603008,-31.833333333333332,715.2792167851443,-0.7188000000000017,0.9690000000000083,-19100
ASH5812,28,34.6596,-117.816,36525,527,600.0,-0.9160010089966251,0.4011759607917265,-4.0,731.8116589675564,0.4339000000000013,-1.2279999999999944,-2400
BLK11,2,34.6303,-118.069,12475,437,600.0,0.8545640429496458,0.5193460277094222,-7.458333333333333,5.781277555440679,0.0045000000000001705,0.009000000000000341,-4475
BLK11,2,34.6348,-118.06,8000,253,600.0,-0.9629367627504349,-0.2697272528754048,0.041666666666666664,170.0220405136309,-0.06909999999999883,-0.2980000000000018,25
COBRA52,1,34.6902,-117.881,4875,207,600.0,-0.9881346741198446,-0.15358992741084448,-1.7916666666666667,87.73700552058953,-0.020299999999998875,-0.15800000000000125,-1075
COBRA52,1,34.6699,-118.039,3800,460,600.0,-0.866483362049789,-0.49920595277990654,-0.9166666666666666,51.951660182242826,-0.03889999999999816,-0.08199999999999363,-550
COBRA52,2,34.7209,-117.846,4875,460,600.0,-0.9831665078582277,-0.18271184369344398,2.5833333333333335,214.33283552414196,-0.05930000000000035,-0.38400000000000034,1550
COBRA52,3,34.7163,-117.974,4900,237,600.0,-0.8827430827927565,-0.46985598834274817,-0.5,112.55352148041892,-0.07939999999999969,-0.18099999999999739,-300
COBRA52,4,34.7353,-117.875,4900,460,600.0,-0.9686959919522999,-0.2482500255298065,1.4166666666666667,152.92371684483766,-0.057200000000001694,-0.269999999999996,850
DAL1413,44,34.3881,-118.465,36975,539,600.0,-0.19136034396585058,0.9815198514331085,-0.20833333333333334,572.4449363925187,0.8419999999999987,-0.2009999999999934,-125
DAL1837,10,34.0901,-117.698,36725,460,600.0,-0.6184107436867061,0.7858550452168995,-0.08333333333333333,817.8681785532942,0.9598999999999975,-0.9260000000000019,-50
DAL1837,26,34.3179,-117.922,36150,516,600.0,-0.631635917252692,0.7752651598236248,0.0,590.9453377046739,0.6847999999999956,-0.6830000000000069,0
DAL2171,9,34.569,-117.369,26675,490,600.0,-0.9191674477756693,0.3938669863666697,15.166666666666666,717.7559739463927,0.4177999999999997,-1.2069999999999936,9100
DAL2171,41,34.5769,-117.453,29075,513,600.0,-0.9104440822563169,0.41363217123968116,8.625,682.5431280553101,0.41789999999999594,-1.1370000000000005,5175
DAL2171,45,35.1326,-118.622,31250,520,600.0,0.7637569385201651,-0.6455039417868063,-20.041666666666668,761.9414458577354,-0.7417999999999978,1.0570000000000022,-12025
DJR12,2,34.6551,-117.785,42700,414,600.0,-0.7954914731339712,0.6059647812960292,1.7916666666666667,596.2853797654498,0.5385000000000062,-0.8700000000000045,1075
DJR12,6,34.4711,-117.504,36825,405,600.0,-0.8791547143558683,0.47653645004957557,5.875,562.8477084664988,0.39869999999999806,-0.9039999999999964,3525
DJR213,2,34.3425,-118.466,36100,437,600.0,0.9696760006093477,0.24439405443312323,2.5416666666666665,803.3442760515222,0.2860999999999976,1.418999999999997,1525
DJR213,3,34.4995,-117.684,34500,467,600.0,-0.8719433419807368,0.48960678955204856,-0.9583333333333334,614.013568840893,0.4466999999999999,-0.9789999999999992,-575
DJR841,0,34.5341,-117.619,40550,463,600.0,-0.9164698625083842,0.40010372544361955,-0.08333333333333333,565.0173427339469,0.3352000000000004,-0.945999999999998,-50
DJR841,4,34.5953,-117.366,34375,467,600.0,-0.9914620681642691,-0.13039542703419568,-9.125,641.3386200926282,-0.1308000000000007,-1.156000000000006,-5475
DJR841,6,34.5858,-117.933,32600,470,600.0,-0.7824105868448282,0.6227629353077554,13.625,492.1831197468417,0.4573999999999998,-0.7049999999999983,8175
DLX313,16,34.488,-117.912,11650,460,600.0,-0.6499354829240805,0.7599893867918434,-6.083333333333333,224.3721829149696,0.2552999999999983,-0.26599999999999113,-3650
ENY3362,0,34.6564,-117.628,36700,460,600.0,-0.9510728327852501,0.30896677287022256,-4.416666666666667,629.6452959103935,0.2867000000000033,-1.0949999999999989,-2650
ENY4004,1,34.6351,-117.431,36775,511,600.0,-0.9598569956971404,0.28048983548652845,-0.875,724.2446258363254,0.2978999999999985,-1.2710000000000008,-525
FDX1837,11,34.5258,-117.464,38350,541,600.0,-0.8773901620722959,0.4797775562682672,-0.08333333333333333,720.9524845891478,0.5130000000000052,-1.1580000000000013,-50
FFT2783,3,34.5601,-117.736,37300,486,600.0,-0.9426267009847313,0.33384862226859935,0.08333333333333333,701.7480361366041,0.3451999999999984,-1.208999999999989,50
FFT2791,16,34.5454,-117.667,37675,523,600.0,-0.9056667849209599,0.4239901823048877,0.041666666666666664,641.8493023027817,0.40330000000000155,-1.0630000000000024,25
GAJ862,3,34.5705,-117.886,22575,327,600.0,-0.8794003649598559,0.47608297397457133,0.0,444.34190019305373,0.3149999999999977,-0.7139999999999986,0
GAJ885,1,34.4758,-118.109,26500,327,600.0,-0.7881612794960782,0.6154687624104939,-0.08333333333333333,387.7111140753803,0.3564000000000007,-0.5580000000000069,-50
GRZLY50,3,34.7003,-117.909,4900,460,600.0,-0.9977354613277979,0.0672603093139363,0.0,48.92506189406518,0.004899999999999238,-0.08899999999999864,0
GRZLY50,3,34.7052,-117.998,4900,460,600.0,-0.6944793599606015,-0.7195126257326644,-1.5833333333333333,87.76408795124149,-0.09469999999999601,-0.11099999999999,-950
GRZLY50,3,34.6105,-118.109,3950,460,600.0,0.5711946974707097,0.820814606096495,-0.041666666666666664,16.338518559245,0.02009999999999934,0.016999999999995907,-25
GRZLY50,3,34.6306,-118.092,3925,460,600.0,0.163920858150705,0.9864734929348768,0.25,20.086737320003195,0.029699999999998283,0.006000000000000227,150
GRZLY50,3,34.6603,-118.086,4075,460,600.0,0.79894911999368,-0.6013986229293549,-1.2916666666666667,38.480702830543315,-0.03470000000000084,0.055999999999997385,-775
HAL31,0,34.5972,-117.537,32300,534,600.0,-0.9724518783588467,-0.23310371999680912,0.25,585.4050253479372,-0.20889999999999986,-1.0339999999999918,150
HAL31,10,34.6146,-117.417,28825,539,600.0,-0.9730230661272202,-0.23070785158807047,3.3333333333333335,696.1295579292108,-0.24690000000000367,-1.230000000000004,2000
HAL5,1,34.8147,-117.359,38825,543,600.0,-0.9629969351771638,-0.26951234264758517,2.875,856.2562302559345,-0.3551000000000002,-1.4990000000000094,1725
HAL5,6,34.7393,-117.608,38850,460,600.0,-0.963439983503431,-0.26792423964044154,-0.08333333333333333,617.5838398955359,-0.2528000000000006,-1.0819999999999936,-50
